Date ,Location,Number,Time
2021-06-15,Bắc Giang,28,Sáng
2021-06-15,TP. Hồ Chí Minh,23,Sáng
2021-06-15,Bắc Ninh,19,Sáng
2021-06-15,Bắc Giang,69,Trưa
2021-06-15,TP. Hồ Chí Minh,29,Trưa
2021-06-15,Bắc Ninh,15,Trưa
2021-06-15,Hà Tĩnh,3,Trưa
2021-06-15,Lạng Sơn,1,Trưa
2021-06-15,Hà Nội,1,Trưa
2021-06-15,Bắc Giang,138,Tối
2021-06-15,TP. Hồ Chí Minh,38,Tối
2021-06-15,Bắc Ninh,21,Tối
2021-06-15,Bình Dương,12,Tối
2021-06-15,Lạng Sơn,1,Tối
2021-06-16,Bắc Giang,61,Sáng
2021-06-16,TP. Hồ Chí Minh,19,Sáng
2021-06-16,Bắc Ninh,9,Sáng
2021-06-16,Hà Tĩnh,2,Sáng
2021-06-16,Bắc Giang,128,Trưa
2021-06-16,TP. Hồ Chí Minh,35,Trưa
2021-06-16,Bắc Ninh,8,Trưa
2021-06-16,Hà Tĩnh,2,Trưa
2021-06-16,Nghệ An,1,Trưa
2021-06-16,Bắc Giang,90,Tối
2021-06-16,TP. Hồ Chí Minh,45,Tối
2021-06-16,Bắc Ninh,10,Tối
2021-06-16,Nghệ An,2,Tối
2021-06-16,Hà Nam,1,Tối
2021-06-16,Bắc Kạn,1,Tối
2021-06-17,Bắc Giang,87,Sáng
2021-06-17,TP. Hồ Chí Minh,45,Sáng
2021-06-17,Tiền Giang,11,Sáng
2021-06-17,Bình Dương,7,Sáng
2021-06-17,Bắc Ninh,6,Sáng
2021-06-17,Lạng Sơn,1,Sáng
2021-06-17,Hà Tĩnh,1,Sáng
2021-06-17,Bắc Giang,178,Trưa
2021-06-17,Hồ Chí Minh,30,Trưa
2021-06-17,Tiền Giang,2,Trưa
2021-06-17,Hà Tĩnh,1,Trưa
2021-06-17,Nghệ An,1,Trưa
2021-06-17,Bắc Giang,62,Tối
2021-06-17,TP. Hồ Chí Minh,62,Tối
2021-06-17,Bắc Ninh,6,Tối
2021-06-17,Hà Tĩnh,2,Tối
2021-06-17,Lạng Sơn,1,Tối
2021-06-18,TP. Hồ Chí Minh,59,Trưa
2021-06-18,Bắc Giang,36,Trưa
2021-06-18,Bình Dương,12,Trưa
2021-06-18,Bắc Ninh,10,Trưa
2021-06-18,Hòa Bình,1,Trưa
2021-06-18,Lào Cai,1,Trưa
2021-06-18,TP. Hồ Chí Minh,30,Tối
2021-06-18,Bắc Giang,19,Tối
2021-06-18,Bắc Ninh,6,Tối
2021-06-18,Hà Tĩnh,3,Tối
2021-06-18,Hòa Bình,1,Tối
2021-06-19,TP. Hồ Chí Minh,40,Sáng
2021-06-19,Bắc Ninh,15,Sáng
2021-06-19,Nghệ An,13,Sáng
2021-06-19,Bình Dương,12,Sáng
2021-06-19,Bắc Giang,9,Sáng
2021-06-19,Tiền Giang,3,Sáng
2021-06-19,Hà Tĩnh,1,Sáng
2021-06-19,Đà Nẵng,1,Sáng
2021-06-19,TP. Hồ Chí Minh,64,Trưa
2021-06-19,Bắc Giang,22,Trưa
2021-06-19,Bắc Ninh,14,Trưa
2021-06-19,Long An,3,Trưa
2021-06-19,Hòa Bình,2,Trưa
2021-06-19,Nghệ An,2,Trưa
2021-06-19,Lào Cai,1,Trưa
2021-06-19,Hà Nội,1,Trưa
2021-06-19,TP. Hồ Chí Minh,31,Tối
2021-06-19,Bắc Giang,18,Tối
2021-06-19,Bình Dương,18,Tối
2021-06-19,Bắc Ninh,7,Tối
2021-06-19,Đà Nẵng,5,Tối
2021-06-19,Long An,3,Tối
2021-06-19,Lạng Sơn,2,Tối
2021-06-19,Đồng Nai,2,Tối
2021-06-19,Hà Tĩnh,2,Tối
2021-06-19,Nghệ An,1,Tối
2021-06-19,Nam Định,1,Tối
2021-06-20,TP. Hồ Chí Minh,46,Sáng
2021-06-20,Bắc Giang,20,Sáng
2021-06-20,Bắc Ninh,7,Sáng
2021-06-20,Nghệ An,3,Sáng
2021-06-20,Bắc Giang,53,Trưa
2021-06-20,TP. Hồ Chí Minh,34,Trưa
2021-06-20,Đà Nẵng,18,Trưa
2021-06-20,Bình Dương,13,Trưa
2021-06-20,Bắc Ninh,9,Trưa
2021-06-20,Hà Tĩnh,1,Trưa
2021-06-20,Quảng Nam,1,Trưa
2021-06-20,TP. Hồ Chí Minh,57,Tối
2021-06-20,Bắc Giang,23,Tối
2021-06-20,Đà Nẵng,9,Tối
2021-06-20,Bắc Ninh,3,Tối
2021-06-20,Nghệ An,2,Tối
2021-06-21,TP. Hồ Chí Minh,33,Sáng
2021-06-21,Bắc Giang,5,Sáng
2021-06-21,Bắc Ninh,4,Sáng
2021-06-21,Tiền Giang,2,Sáng
2021-06-21,Nghệ An,1,Sáng
2021-06-21,Trà Vinh,1,Sáng
2021-06-21,TP. Hồ Chí Minh,63,Trưa
2021-06-21,Bắc Giang,16,Trưa
2021-06-21,Nghệ An,4,Trưa
2021-06-21,Bắc Ninh,3,Trưa
2021-06-21,Hà Tĩnh,2,Trưa
2021-06-21,TP. Hồ Chí Minh,36,Tối
2021-06-21,Bắc Giang,9,Tối
2021-06-21,Nghệ An,1,Tối
2021-06-21,Gia Lai,1,Tối
2021-06-22,TP. Hồ Chí Minh,36,Sáng
2021-06-22,Bắc Giang,9,Sáng
2021-06-22,Nghệ An,1,Sáng
2021-06-22,Gia Lai,1,Sáng
2021-06-22,TP. Hồ Chí Minh,37,Trưa
2021-06-22,Bình Dương,33,Trưa
2021-06-22,Bắc Giang,10,Trưa
2021-06-22,Tiền Giang,5,Trưa
2021-06-22,Đà Nẵng,4,Trưa
2021-06-22,Hà Tĩnh,2,Trưa
2021-06-22,Bắc Ninh,1,Trưa
2021-06-22,Vĩnh Long,1,Trưa
2021-06-22,Long An,1,Trưa
2021-06-22,Đồng Nai,1,Trưa
2021-06-22,Bắc Giang,12,Tối
2021-06-22,Bắc Ninh,9,Tối
2021-06-22,Hưng Yên,2,Tối
2021-06-22,Nghệ An,1,Tối
2021-06-22,Hà Nội,1,Tối
2021-06-23,TP. Hồ Chí Minh,51,Sáng
2021-06-23,Bắc Giang,2,Sáng
2021-06-23,Nghệ An,2,Sáng
2021-06-23,TP. Hồ Chí Minh,40,Trưa
2021-06-23,Bình Dương,23,Trưa
2021-06-23,Bắc Giang,8,Trưa
2021-06-23,Hưng Yên,4,Trưa
2021-06-23,Lào Cai,2,Trưa
2021-06-23,Long An,2,Trưa
2021-06-23,Bắc Kạn,1,Trưa
2021-06-23,TP. Hồ Chí Minh,61,Tối
2021-06-23,Đà Nẵng,6,Tối
2021-06-23,Bắc Ninh,4,Tối
2021-06-23,Long An,3,Tối
2021-06-23,Nghệ An,5,Tối
2021-06-23,Kiên Giang,2,Tối
2021-06-23,Bắc Giang,1,Tối
2021-06-24,TP. Hồ Chí Minh,26,Sáng
2021-06-24,Thái Bình,3,Sáng
2021-06-24,Bắc Giang,3,Sáng
2021-06-24,Tây Ninh,2,Sáng
2021-06-24,Long An,2,Sáng
2021-06-24,Khánh Hòa,1,Sáng
2021-06-24,TP. Hồ Chí Minh,75,Trưa
2021-06-24,Bình Dương,27,Trưa
2021-06-24,Bắc Giang,16,Trưa
2021-06-24,Bắc Ninh,5,Trưa
2021-06-24,Hưng Yên,2,Trưa
2021-06-24,Thái Bình,1,Trưa
2021-06-24,Hồ Chí Minh,61,Tối
2021-06-24,Đà Nẵng,20,Tối
2021-06-24,Tiền Giang,9,Tối
2021-06-24,Phú Yên,8,Tối
2021-06-24,Bắc Giang,9,Tối
2021-06-24,Bắc Ninh,2,Tối
2021-06-24,Nghệ An,5,Tối
2021-06-24,Thái Bình,1,Tối
2021-06-24,Hải Phòng,1,Tối
2021-06-25,TP. Hồ Chí Minh,57,Sáng
2021-06-25,Bình Dương,10,Sáng
2021-06-25,Bình Thuận,5,Sáng
2021-06-25,Gia Lai,2,Sáng
2021-06-25,Quảng Ninh,1,Sáng
2021-06-25,Bắc Giang,1,Sáng
2021-06-25,Khánh Hòa,1,Sáng
2021-06-25,Long An,1,Sáng
2021-06-25,Hải Phòng,1,Sáng
2021-06-25,TP. Hồ Chí Minh,50,Trưa
2021-06-25,Long An,21,Trưa
2021-06-25,Bắc Giang,18,Trưa
2021-06-25,Bình Dương,12,Trưa
2021-06-25,Hưng Yên,3,Trưa
2021-06-25,Phú Yên,2,Trưa
2021-06-25,Bắc Ninh,2,Trưa
2021-06-25,Quảng Ninh,1,Trưa
2021-06-25,TP. Hồ Chí Minh,54,Tối
2021-06-25,Bình Dương,8,Tối
2021-06-25,Tiền Giang,8,Tối
2021-06-25,Nghệ An,6,Tối
2021-06-25,Đà Nẵng,5,Tối
2021-06-25,Bắc Ninh,4,Tối
2021-06-25,Bắc Giang,3,Tối
2021-06-25,Hải Phòng,2,Tối
2021-06-25,Đồng Tháp,2,Tối
2021-06-25,Lạng Sơn,1,Tối
2021-06-25,Thái Bình,1,Tối
