Date ,Location,Number,Time
15-06-2021,Bắc Giang,28,Sáng
15-06-2021,TP. Hồ Chí Minh,23,Sáng
15-06-2021,Bắc Ninh,19,Sáng
15-06-2021,Bắc Giang,69,Trưa
15-06-2021,TP. Hồ Chí Minh,29,Trưa
15-06-2021,Bắc Ninh,15,Trưa
15-06-2021,Hà Tĩnh,3,Trưa
15-06-2021,Lạng Sơn,1,Trưa
15-06-2021,Hà Nội,1,Trưa
15-06-2021,Bắc Giang,138,Tối
15-06-2021,TP. Hồ Chí Minh,38,Tối
15-06-2021,Bắc Ninh,21,Tối
15-06-2021,Bình Dương,12,Tối
15-06-2021,Lạng Sơn,1,Tối
16-06-2021,Bắc Giang,61,Sáng
16-06-2021,TP. Hồ Chí Minh,19,Sáng
16-06-2021,Bắc Ninh,9,Sáng
16-06-2021,Hà Tĩnh,2,Sáng
16-06-2021,Bắc Giang,128,Trưa
16-06-2021,TP. Hồ Chí Minh,35,Trưa
16-06-2021,Bắc Ninh,8,Trưa
16-06-2021,Hà Tĩnh,2,Trưa
16-06-2021,Nghệ An,1,Trưa
16-06-2021,Bắc Giang,90,Tối
16-06-2021,TP. Hồ Chí Minh,45,Tối
16-06-2021,Bắc Ninh,10,Tối
16-06-2021,Nghệ An,2,Tối
16-06-2021,Hà Nam,1,Tối
16-06-2021,Bắc Kạn,1,Tối
17-06-2021,Bắc Giang,87,Sáng
17-06-2021,TP. Hồ Chí Minh,45,Sáng
17-06-2021,Tiền Giang,11,Sáng
17-06-2021,Bình Dương,7,Sáng
17-06-2021,Bắc Ninh,6,Sáng
17-06-2021,Lạng Sơn,1,Sáng
17-06-2021,Hà Tĩnh,1,Sáng
17-06-2021,Bắc Giang,178,Trưa
17-06-2021,Hồ Chí Minh,30,Trưa
17-06-2021,Tiền Giang,2,Trưa
17-06-2021,Hà Tĩnh,1,Trưa
17-06-2021,Nghệ An,1,Trưa
17-06-2021,Bắc Giang,62,Tối
17-06-2021,TP. Hồ Chí Minh,62,Tối
17-06-2021,Bắc Ninh,6,Tối
17-06-2021,Hà Tĩnh,2,Tối
17-06-2021,Lạng Sơn,1,Tối
18-06-2021,TP. Hồ Chí Minh,59,Trưa
18-06-2021,Bắc Giang,36,Trưa
18-06-2021,Bình Dương,12,Trưa
18-06-2021,Bắc Ninh,10,Trưa
18-06-2021,Hòa Bình,1,Trưa
18-06-2021,Lào Cai,1,Trưa
18-06-2021,TP. Hồ Chí Minh,30,Tối
18-06-2021,Bắc Giang,19,Tối
18-06-2021,Bắc Ninh,6,Tối
18-06-2021,Hà Tĩnh,3,Tối
18-06-2021,Hòa Bình,1,Tối
19-06-2021,TP. Hồ Chí Minh,40,Sáng
19-06-2021,Bắc Ninh,15,Sáng
19-06-2021,Nghệ An,13,Sáng
19-06-2021,Bình Dương,12,Sáng
19-06-2021,Bắc Giang,9,Sáng
19-06-2021,Tiền Giang,3,Sáng
19-06-2021,Hà Tĩnh,1,Sáng
19-06-2021,Đà Nẵng,1,Sáng
